id,date,city,venue,category,title,time,ticketUrl,cost
"60","2019-11-15","Anchorage","Whale’s Tail","music","Fridays with DJ 3rd George","9p-2a","",""
"61","2019-11-16","Anchorage","Alaska Center for the Performing Arts","music","Anchorage Civic Orchestra 7:30p-pp","","",""
"62","2019-11-16","Anchorage","Viking Hall","music","2019 Gatsby Charity Ball 7p-11-","","",""
"63","2019-11-16","Anchorage","Koot’s","music","Superfrequency","10p-2:30a","",""
"64","2019-11-16","Anchorage","The Marlin (Fairbanks)","dance","Nrrth, Fat Trophy Wife, Ga$H Money Dance Party","10p-2:30a","",""
"65","2019-11-16","Anchorage","The Carousel Lounge","music","Past Our Prime","10p-2a","",""
"66","2019-11-16","Anchorage","Highland Mountain Correctional Facility","music","Keys to Life: Lullaby Concert","12p-3p","",""
"67","2019-11-16","Anchorage","The Writer’s Block Bookstore & Café","music","Gypsy Jazz Jam","2p-5p","",""
"68","2019-11-16","Anchorage","Mountain View Library","music","Ukulele Jam Session","3:30p-5:30p","",""
"69","2019-11-16","Anchorage","49thState Brewing","music","Sweet Cheeks Cabaret: Forbidden Desires6:","30p-8p & 9:30p-11p","",""
"70","2019-11-16","Anchorage","Arctic Fox (Fairbanks)","music","Cousin Curtiss & Harrison B10p","3a","",""
"71","2019-11-16","Anchorage","Momentum Dance Collective","dance","Ghanaian Dance Class with Okaidja Afroso","3p-4:30p","",""
"72","2019-11-16","Anchorage","The Rookery (Juneau)","music","November Open Mic","6:30p-9:30p","",""
"73","2019-11-16","Anchorage","Roma Bistro on the Wharf (Juneau)","music","Date Night at Roma Bistro w/ Rob Cohen","6:30p-9p","",""
"74","2019-11-16","Anchorage","Klondike Mike’s (Palmer)","music","Shred the Cabbage with Braided River","6p-9a","",""
"75","2019-11-16","Anchorage","Alaska Center for the Performing Arts","music","Whose Live Anyway?","7:30p-9:30p","",""
"76","2019-11-16","Anchorage","Alaska Center for the Performing Arts","music","Celebrate the Music 2019 with the Alaska Sound Celebration","7:30p-9p","",""
"77","2019-11-16","Anchorage","Unitarian Universalist Fellowship of Fairbanks","music","The Portly Presleys","7:30p-9p","",""
"78","2019-11-16","Anchorage","The Yoga Path (Juneau)","dance","November Wild Heart Dance","7:30p-9p","",""
"79","2019-11-16","Anchorage","Matanuska Brewing Company Eagle River","music","Schaefer Mueller","7p-10p","",""
"80","2019-11-16","Anchorage","Matanuska Brewing Company, Anchorage","music","The Forest That Never Sleeps","7p-10p","",""
"81","2019-11-16","Anchorage","Pizza Hut (Fairbanks)","music","Irish Seisiun","7p-10p","",""
"82","2019-11-16","Anchorage","35+ Singles Dance Club","dance","Dance Lesson and Dinner Dance Party","7p-11p","",""
"83","2019-11-16","Anchorage","Northern Light United Church (Juneau)","music","Juneau String Ensembles Concert","7p-8:30p","",""
"84","2019-11-16","Anchorage","Whale’s Tail","music","The Nuther Brothers","7p-9p","",""
"85","2019-11-16","Anchorage","Zip Kombucha","dance","Kizomba Dance Workshop at Zip Kombucha","7p-9p","",""
"86","2019-11-16","Anchorage","Mad Myrna’s","music","The Rocky Horror Show","7p-9p & 10p-12a","",""
"87","2019-11-16","Anchorage","Ivory Jacks (Fairbanks)","music","Bag Lady Sue","8:30p-11:30p","",""
"88","2019-11-16","Anchorage","Matanuska Brewing Downtown","music","Larry Zarella","8p-11p","",""
"89","2019-11-16","Anchorage","907 Alehouse","music","Danger Money Band","8p-12a","",""
