id,date,city,venue,category,title,time,ticketUrl,cost
"296","2021-01-28","Anchorage","Palmer Alehouse","music","Duane & Tyrone live","5:30p-8:30p","",""
"297","2021-01-28","Anchorage","Anaya Latin Dance","dance","Beginner Salsa Suelta: Free Zoom Class","6p-7p","",""
"298","2021-01-28","Anchorage","Koot's","comedy","Drive-In Comedy @ Koot’s","7p-9p","",""
"299","2021-01-28","Anchorage","Mug-Shot Saloon (Wasilla)","music","Thirsty Thursday Karaoke","9:30p-1:30a","",""
"300","2021-01-29","Anchorage","The Arc of Anchorage","dance","Virtual New Year’s Dance","5p-7p","",""
"301","2021-01-29","Anchorage","Alaska Native Justice Center","music","Justice Jams, a Virtual Live Stream Concert","5p-8p","",""
"302","2021-01-29","Anchorage","Floaters (Big Lake)","music","Open Mic Night","7-11p","",""
"303","2021-01-29","Anchorage","American Legion Post 15 (Palmer)","music","100 Proof Karaoke","7p-10p","",""
"304","2021-01-29","Anchorage","The Fraternal Order of Eagles Aerie 4207","music","Karaoke Friday at the Eagles!","7p-11p","",""
"305","2021-01-29","Anchorage","Red Carpet Entertainment","dance","DJ Chester Chomp’s Zoom Room Dance Party!","7p-7:40p","",""
"306","2021-01-29","Anchorage","Anchorage Folk Festival Workshops","music","Blues & Jazz method for the Bass","7p-8p","",""
"307","2021-01-29","Anchorage","Anchorage Folk Festival Workshops","music","Understanding Music w/ Joe Craig","7p-8p","",""
"308","2021-01-29","Anchorage","Anchorage Folk Festival Performances","music","Ava Earl, The AllGood Family Band, Jamie Whiteman and Harrison Jennings, Denise Martin, Jim Kerr, and Friends","7p-9p","",""
"309","2021-01-29","Anchorage","Williwaw Social","music","The Eternal Cowboys","8p-11:30p","",""
"310","2021-01-29","Anchorage","American Legion Spenard Post 28","music","Friday Night Karaoke","8p-11p","",""
"311","2021-01-29","Anchorage","Scared Scriptless","comedy","Facebook Live with Scared Scriptless","8p-9p","",""
"312","2021-01-30","Anchorage","Klondike Mikes and the Main Street Grill (Palmer)","music","Those Guys AK","10p-2a","",""
"313","2021-01-30","Anchorage","International Hotel and Bar (Fairbanks)","music","Tony Taylor’s Tik Tok & Throwback Party","10p-3a","",""
"314","2021-01-30","Anchorage","Anchorage Folk Festival Workshops","music","Beginning Ukelele with Kiel Schweizer","11:15a-12:30p","",""
"315","2021-01-30","Anchorage","Anchorage Folk Festival Workshops","music","Song Writing with Laura Chartier","12:45p-2p","",""
"316","2021-01-30","Anchorage","Anchorage Folk Festival Workshops","music","Dancing with the Spirit Living Room Jam","2:15p-3:30p","",""
"317","2021-01-30","Anchorage","Anchorage Folk Festival Workshops","music","Feldenkrais for Musicians w/ Kevin Cassity","3:45p-5p","",""
"318","2021-01-30","Anchorage","Anchorage Folk Festival Workshops","music","Let's Sing Nature Songs! w/ Dan Pascucci","4p-5p","",""
"319","2021-01-30","Anchorage","Anchorage Folk Festival Workshops","music","Annual AFF Board Meeting","5p-6p","",""
"320","2021-01-30","Anchorage","Let Every Woman Know","music","Rhythm Heals Song Circle (Livestream)","6:30p-9p","",""
"321","2021-01-30","Anchorage","Anchorage Folk Festival Performances","music","Robin Hopper, Tania Opland and Mike Freeman, Lucky Spider, The Forest That Never Sleeps, & The Booth Family Band","7p-9p","",""
"322","2021-01-30","Anchorage","American Legion Spenard Post 28","music","Saturday Night Karaoke","8p-11p","",""
"323","2021-01-30","Anchorage","Don Jose’s Mexican Restaurant","music","Jukebox Karaoke Roadshow","8p-11p","",""
"324","2021-01-30","Anchorage","Anchorage Folk Festival Workshops","music","Celtic Fiddle with Shonti Elder","9:45a-11a","",""
"325","2021-01-31","Anchorage","Anchorage Folk Festival Workshops","music","Intermediate Ukelele with Kiel Schweizer","11:15a-12:30p","",""
"326","2021-01-31","Anchorage","Anchorage Folk Festival Workshops","music","Advanced guitar techniques w/ Armin Abdihodzic","12:45p-2p","",""
"327","2021-01-31","Anchorage","Anchorage Folk Festival Workshops","music","Mandolin w/ Wolfgang Q. Olsson","3:45p-5p","",""
"328","2021-01-31","Anchorage","Anchorage Folk Festival Workshops","music","How to Access the Rich Environment of the Performing Arts Sector Locally & Nationwide w/Jason Hodges","3:45p-5p","",""
"329","2021-01-31","Anchorage","Anchorage Folk Festival Workshops","theatre","Honing your Guitar & Playing the 5-Note Scale w/ Mike Simpson","5:15p-6:30p","",""
"330","2021-01-31","Anchorage","AK East Coast Swing (Palmer)","dance","Swing Dancing!","5p-8p","",""
"331","2021-01-31","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","7p-11p","",""
"332","2021-01-31","Anchorage","Vans Dive Bar","music","Open Mic Night","7p-11p","",""
"333","2021-01-31","Anchorage","Anchorage Folk Festival Workshops","music","Sing Around Song Circle w/ Dawn Berg","9:45a-11a","",""
"334","2021-02-01","Anchorage","Fairbanks North Star Borough Public Libraries","community","Mother Moose Storytime","10:30a-11a","",""
"335","2021-02-01","Anchorage","Vans Dive Bar","music","MonDayshas Unplugged","7p-11p","",""
"336","2021-02-01","Anchorage","American Legion Spenard Post 28","music","Monday Night Karaoke","8p-10p","",""
"337","2021-02-02","Anchorage","Klondike Mikes (Palmer)","music","Open Mic w/ MoonDog Media","6p-12a","",""
"338","2021-02-02","Anchorage","Flight Deck Bar and Lounge","music","AK Rockstar Karaoke","7p-11p","",""
"339","2021-02-02","Anchorage","Vans Dive Bar","music","Open Jam Night","7p-11p","",""
"340","2021-02-02","Anchorage","Trophy Lounge","music","Jukebox Karaoke Roadshow","8p-12a","",""
"341","2021-02-03","Anchorage","Trapper Creek Bluegrass Campout Festivals","music","Passport Series Volume XI (Online)","6p-10p","",""
"342","2021-02-03","Anchorage","The Schwabenhof (Wasilla)","music","Open Mic at the Schwabenhof","7:30p-11:30p","",""
"343","2021-02-25","Anchorage","Fairbanks North Star Borough Public Libraries","community","Preschool Storytime (virtual)","10:30a-11a","",""
"344","2021-02-25","Anchorage","Koot's","comedy","Drive-In Comedy","3p-4p","",""
"345","2021-02-25","Anchorage","Palmer Alehouse","music","The Stack Acoustic Duo","5:30p-8:30p","",""
"346","2021-02-25","Anchorage","Emma Hill & Bryan Daste (Online)","music","Folk Unlocked","6p-7p","",""
"347","2021-02-25","Anchorage","The Narrows Bar (Juneau)","music","Live Jazz with Luke Weld","7p-11p","",""
"348","2021-02-26","Anchorage","American Legion Post 15 (Palmer)","music","Friday Night Feast w/ 100 Proof Karaoke","5:30p-7p","",""
"349","2021-02-26","Anchorage","Breakout Dance Studio (Fairbanks)","music","Sock Hop","6:30p-9:30p","",""
"350","2021-02-26","Anchorage","Palmer Alehouse","music","Hobo Jim at the Upstairs Lounge","6p-9p","",""
"351","2021-02-26","Anchorage","Floaters (Big Lake)","music","Open Mic Night","7-11p","",""
"352","2021-02-26","Anchorage","Sweet Cheeks Cabaret (Online)","music","Cirque De Cabaret","7:30p-10p","",""
"353","2021-02-26","Anchorage","Perseverance Theatre (Online)","music","Perseverance People Power Concert","7:30p-9:30p","",""
"354","2021-02-26","Anchorage","The Fraternal Order of Eagles Aerie 4207","music","Karaoke Friday at the Eagles!","7p-11p","",""
"355","2021-02-26","Anchorage","Red Carpet Entertainment","dance","DJ Chester Chomp’s Zoom Room Dance Party!","7p-7:40p","",""
"356","2021-02-26","Anchorage","Anchorage Concert Association (Online)","music","For Colored Ladies Who Have Considered Pull-Tabs With Their Last Two Dollars","7p-8:30p","",""
"357","2021-02-26","Anchorage","Williwaw Social","music","The Eternal Cowboys","8p-11:30p","",""
"358","2021-02-26","Anchorage","American Legion Spenard Post 28","music","Friday Night Karaoke","8p-11p","",""
"359","2021-02-26","Anchorage","Corks and Hops (Eagle River)","music","The Acou-Stack Live","9p-12a","",""
"360","2021-02-26","Anchorage","Williwaw Social","music","DJ Lloyds Noize in the Speakeasy","9p-12a","",""
"361","2021-02-27","Anchorage","Alaska Dance Theatre","music","Anchorage Auditions","1:30p-3p","",""
"362","2021-02-27","Anchorage","International Hotel and Bar (Fairbanks)","music","DJ Manny","10p-3a","",""
"363","2021-02-27","Anchorage","American Legion Post 15 (Palmer)","music","Fun and Food w/ 100 Proof Karaoke","7p-10p","",""
"364","2021-02-27","Anchorage","The Carousel Lounge","music","Bird Creek Barbarians Rugby Postseason Drinkup!","7p-11p","",""
"365","2021-02-27","Anchorage","Out North","music","Movies Out, Drive-in Film: “I Am Not Your Negro”","7p-9p","",""
"366","2021-02-27","Anchorage","American Legion Spenard Post 28","music","Saturday Night Karaoke","8p-11p","",""
"367","2021-02-27","Anchorage","Don Jose’s Mexican Restaurant","music","Jukebox Karaoke Roadshow","8p-11p","",""
"368","2021-02-27","Anchorage","Vans Dive Bar","music","Hwy9 Duo","9p-11p","",""
"369","2021-02-27","Anchorage","Williwaw Social","music","Taking Back Saturday with DJ GRE","9p-12a","",""
"370","2021-02-28","Anchorage","Anchorage Concert Association (Online)","music","For Colored Ladies Who Have Considered Pull-Tabs With Their Last Two Dollars","2p-3:30p","",""
"371","2021-02-28","Anchorage","The Carousel Lounge","music","Karaoke Sunday","7p-11p","",""
"372","2021-02-28","Anchorage","Vans Dive Bar","music","Open Mic Night","8p-12a","",""
"373","2021-03-01","Anchorage","American Legion Spenard Post 28","music","Monday Night Karaoke","8p-10p","",""
"374","2021-03-01","Anchorage","Vans Dive Bar","music","Mon-Dayshas","8p-12a","",""
"375","2021-03-02","Anchorage","Klondike Mikes (Palmer)","music","MoonDog Media Open Mic","6p-12a","",""
"376","2021-03-02","Anchorage","Flight Deck Bar and Lounge","music","AK Rockstar Karaoke Tuesday","7p-11p","",""
"377","2021-03-02","Anchorage","Trophy Lounge","music","Jukebox Karaoke Roadshow","8p-12a","",""
"378","2021-03-02","Anchorage","Vans Dive Bar","music","Open Jam Night","8p-12a","",""
"379","2021-03-03","Anchorage","UAS Student Activities Board (Online)","music","Maddie + Tae Virtual Tour","5p-7p","",""
"380","2021-03-03","Anchorage","The Schwabenhof (Wasilla)","music","Open Mic at the Schwabenhof","7:30p-11:30p","",""
"381","2021-03-03","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke Wednesday","7p-11p","",""
"382","2021-04-13","Anchorage","American Legion Spenard Post 28","music","Acoustic Song Circle with WAH Music","6:30p-9p","",""
"383","2021-04-13","Anchorage","Main Street Tap & Grill (Kenai)","music","Robbie Carlson","6p-10p","",""
"384","2021-04-13","Anchorage","Flight Deck Bar and Lounge","music","AK Rockstar Karaoke Tuesday","7p-11p","",""
"385","2021-04-13","Anchorage","Trophy Lounge","music","Jukebox Karaoke Roadshow","8p-12a","",""
"386","2021-04-13","Anchorage","Van’s Dive Bar","music","Garret's Toast With Jam Jams","8p-12a","",""
"387","2021-04-13","Anchorage","Koot’s","music","The Eternal Cowboys","9p-1a","",""
"388","2021-04-14","Anchorage","Koot’s","music","Koots Karaoke","10p-2a","",""
"389","2021-04-14","Anchorage","The Schwabenhof (Wasilla)","music","Open Mic at Schwabenhof","7:30p-11:30p","",""
"390","2021-04-14","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke Wednesday","7p-11p","",""
"391","2021-04-14","Anchorage","Mad Myrna’s","music","Mad Myrna's Karaoke!","9p-12a","",""
"392","2021-05-07","Anchorage","LIVE AT JHS","music","ACOUSTIC SHOWCASE","","",""
"393","2021-05-07","Anchorage","Humpy’s","music","Nothin’ But Trouble","10:30p-2:30a","",""
"394","2021-05-07","Anchorage","Williwaw Social","music","Vibes in the Speakeasy with DJ Joe Brady","10:30p-2a","",""
"395","2021-05-07","Anchorage","Williwaw Social","dance","Footloose Dance Party with DJ Fan Service","10:30p-2a","",""
"396","2021-05-07","Anchorage","Van’s Dive Bar","music","First Fridays Feat. Nick Carpenter & Bethlehem Shalom","10p-2a","",""
"397","2021-05-07","Anchorage","Willow Trading Post","music","Danger Money Live","10p-2a","",""
"398","2021-05-07","Anchorage","International Hotel and Bar (Fairbanks)","music","John Shewfelt Jr & Shot Time","11p-2a","",""
"399","2021-05-07","Anchorage","Organic Oasis","music","John Damberg AJW Jazz Fridays","5:30p-7:30p","",""
"400","2021-05-07","Anchorage","Palmer Alehouse","music","The Eternal Cowboys LIVE","7p-10p","",""
"401","2021-05-07","Anchorage","American Legion Post 15 (Palmer)","music","Friday Night Feast w/ 100 Proof Karaoke","7p-11p","",""
"402","2021-05-07","Anchorage","Everett’s (Wasilla)","comedy","Hooked Entertainment Comedy: Barry Brewer","7p-11p","",""
"403","2021-05-07","Anchorage","The Fraternal Order of Eagles Aerie 4207","music","Karaoke Friday at the Eagles!","7p-11p","",""
"404","2021-05-07","Anchorage","Red Carpet Entertainment LLC","dance","DJ Chester Chomp’s Zoom Room Dance Party!","7p-7:40p","",""
"405","2021-05-07","Anchorage","Everett’s (Wasilla)","music","Tim Hall","7p-9p","",""
"406","2021-05-07","Anchorage","Mad Myrna’s","music","Mad Myrna's Diva Variety Show","9p-11p","",""
"407","2021-05-07","Anchorage","American Legion Spenard Post 28","music","Friday Night Karaoke!","9p-1a","",""
"408","2021-05-08","Anchorage","Williwaw Social","music","Taking Back Saturday with DJ GRE","10:30p-2:30a","",""
"409","2021-05-08","Anchorage","Williwaw Social","dance","DJ Joe Brady: Britney vs the World Dance Party","10:30p-2:30a","",""
"410","2021-05-08","Anchorage","American Legion Spenard Post 28","music","Saturday Night Karaoke!","10p-12a","",""
"411","2021-05-08","Anchorage","International Hotel and Bar (Fairbanks)","music","DJ Manny's 2021 Cinco de Mayo Celebración","10p-2a","",""
"412","2021-05-08","Anchorage","Klondike Mike’s (Palmer)","music","Jerry Wessling & Plan B","10p-2a","",""
"413","2021-05-08","Anchorage","American Legion Post 15 (Palmer)","music","Fun and Food w/ 100 Proof Karaoke","6p-11p","",""
"414","2021-05-08","Anchorage","Palmer Alehouse","music","Woodrow LIVE","7p-10p","",""
"415","2021-05-08","Anchorage","Everett’s (Wasilla)","music","Larry Zarella","7p-9p","",""
"416","2021-05-08","Anchorage","The Broken Blender","music","Sassy Saturdays with Sweet Cheeks Cabaret","8p-10p","",""
"417","2021-05-08","Anchorage","Koot’s","music","Comedian Barry Brewer","8p-11p","",""
"418","2021-05-08","Anchorage","The Carousel Lounge","music","Live Music with “Cancel Culture”","8p-3a","",""
"419","2021-05-09","Anchorage","The Schwabenhof (Wasilla)","music","Schwabenhof Sunday Blues Jam","4p-8p","",""
"420","2021-05-09","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke Sunday","7p-11p","",""
"421","2021-05-09","Anchorage","Everett’s (Wasilla)","music","JD Cox","7p-9p","",""
"422","2021-05-09","Anchorage","Van’s Dive Bar","music","Open Mic Night","8p-12a","",""
"423","2021-05-10","Anchorage","Van’s Dive Bar","music","Taking Back Mondays","10p-1a","",""
"424","2021-05-10","Anchorage","American Legion Spenard Post 28","music","Monday Night Karaoke","8p-10p","",""
"425","2021-05-10","Anchorage","Koot’s","music","The Monday Music Mic with Boobs","9p-12a","",""
"426","2021-05-11","Anchorage","American Legion Spenard Post 28","music","Taco Tuesday Open Mic with WAH Music","6:30p-9p","",""
"427","2021-05-11","Anchorage","Flight Deck Bar and Lounge","music","AK Rockstar Karaoke Tuesday","7p-11p","",""
"428","2021-05-11","Anchorage","Trophy Lounge","music","Jukebox Karaoke Roadshow","8p-12a","",""
"429","2021-05-11","Anchorage","Van’s Dive Bar","music","Garret's Toasts to Jams","8p-12a","",""
"430","2021-05-11","Anchorage","Koot’s","music","The Eternal Cowboys","9p-1a","",""
"431","2021-05-12","Anchorage","Koot’s","music","Koots Karaoke","10p-2a","",""
"432","2021-05-12","Anchorage","The Schwabenhof (Wasilla)","music","Open Mic at Schwabenhof","7:30p-11:30p","",""
"433","2021-05-12","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke Wednesday","7p-11p","",""
"434","2021-05-12","Anchorage","Koot’s","comedy","Comedy Open Mic","8:30p-10p","",""
"435","2021-05-12","Anchorage","Mad Myrna’s","music","Mad Myrna's Karaoke!","9p-12a","",""
"436","2021-06-18","Anchorage","Eagle River Commons Park","community","Storytime in the Park","10:30a-11a","",""
"437","2021-06-18","Anchorage","Koot’s","music","Velvet La La","10p-2:30a","",""
"438","2021-06-18","Anchorage","The Mug-Shot Saloon (Wasilla)","music","Those Guys AK","10p-2:30a","",""
"439","2021-06-18","Anchorage","International Hotel and Bar (Fairbanks)","music","Marc Brown & The Blues Crew","10p-2a","",""
"440","2021-06-18","Anchorage","Palmer Downtown Pavilion","music","Friday Fling Live Music w/ Antigen","11:30a-1p & 4:30p-6p","",""
"441","2021-06-18","Anchorage","Curtis Menard Sports Center (Wasilla)","music","The Box Tops Concert","5:30p-10p","",""
"442","2021-06-18","Anchorage","American Legion Post 15 (Palmer)","music","Friday Night Feast w/ 100 Proof Karaoke","5:30p-7p","",""
"443","2021-06-18","Anchorage","Talkeetna Village Park","music","Talkeetna Live at 5 with Larry Sandy","5p-7p","",""
"444","2021-06-18","Anchorage","Sheldon Community Arts Council (Talkeetna)","music","Green Light Circus","6:30p-9p","",""
"445","2021-06-18","Anchorage","Dirty Skillet (Hope)","music","Flannels & Skanks","6p-10p","",""
"446","2021-06-18","Anchorage","Seaview Café (Hope)","music","Jared Woods","6p-10p","",""
"447","2021-06-18","Anchorage","Seldovia Boardwalk Hotel (Seldovia)","music","Witty Youngman","6p-9p","",""
"448","2021-06-18","Anchorage","Wonderland Park (Wasilla)","music","Music In The Park: Roland Roberts Band","6p-9p","",""
"449","2021-06-18","Anchorage","Creekbend Company (Hope)","music","Solstice Shrimp Boil with Braided River and Deadphish Orchestra","7p-10:30p","",""
"450","2021-06-18","Anchorage","Matanuska Brewing Eagle River","music","I Like Robots","7p-10p","",""
"451","2021-06-18","Anchorage","O’Malleys on the Green","music","Silver Train","7p-10p","",""
"452","2021-06-18","Anchorage","Palmer Alehouse","music","The Ken Peltier Band","7p-10p","",""
"453","2021-06-18","Anchorage","Everett’s (Wasilla)","comedy","Hooked Entertainment Comedy: Sam Talent","7p-11p","",""
"454","2021-06-18","Anchorage","Floaters (Big Lake)","music","Open Mic Night","7p-12a","",""
"455","2021-06-18","Anchorage","The Fraternal Order of Eagles Aerie 4207","music","Karaoke Friday at the Eagles!","7p-12a","",""
"456","2021-06-18","Anchorage","The Schwabenhof (Wasilla)","theatre","Playhouse LIVE w/ John Budnik, Long Nights Moon, Andy Mullen, Jared Hazen, & Sabrina Speers","8p-11p","",""
"457","2021-06-18","Anchorage","The Vagabond Inn (Kenai)","music","Hot Mess","8p-12a","",""
"458","2021-06-18","Anchorage","Golden Saloon (McCarthy)","music","Ukulele Russ & His One Man Frontier Band","8p-1a","",""
"459","2021-06-18","Anchorage","The Yukon Bar (Seward)","music","Adam Patterson and the Heavy Hearts","9p-1:30a","",""
"460","2021-06-18","Anchorage","American Legion Spenard Post 28","music","Friday Night Karaoke!","9p-1a","",""
"461","2021-06-18","Anchorage","Fairview Inn (Talkeetna)","music","Cami from Miami","9p-1a","",""
"462","2021-06-18","Anchorage","Koot’s","music","Local Roots is BACK with ATF, Saucy Yoda, & Evil Ted and the Thick Pink Antiseptic","9p-1a","",""
"463","2021-06-18","Anchorage","Van’s Dive Bar","music","Photonak & Concrete To Clouds","9p-1a","",""
"464","2021-06-18","Anchorage","Williwaw Social","music","Vibes in the Speakeasy w/ DJ Third George","9p-2a","",""
"465","2021-06-19","Anchorage","Duck Inn Café (Soldotna)","music","Summer Solstice party with The Jammin Band","10p-2a","",""
"466","2021-06-19","Anchorage","Anchorage Downtown","festival","Downtown Partnership Re-Imagined Solstice Festival 2021 with Tons of Music!","12p-9p","",""
"467","2021-06-19","Anchorage","The Broken Blender","music","Grand Opening & solstice Party w/ Nothin But Karma","1p-10p","",""
"468","2021-06-19","Anchorage","Anchorage Town Square Park","dance","Salsa in the Park with Anaya Latin Dance","1p-4p","",""
"469","2021-06-19","Anchorage","Museum of Transportation & Industry (Wasilla)","music","Alaska 4x4 Meet & Greet w/ The Hand Me Downs","4p-7p","",""
"470","2021-06-19","Anchorage","Curtis Menard Sports Center (Wasilla)","festival","Mat-Su Valley Rock Fest: Bad Flower w/ Millennial Falcons and Matt Hopper & the Roman Candles","5:30p-10p","",""
"471","2021-06-19","Anchorage","Denali Harley Davidson (Wasilla)","music","Daddy’s Issue","5p-6p","",""
"472","2021-06-19","Anchorage","Williwaw Social","music","Big Head Todd and the Monsters with SunDog & Alaska Thunder Funk","6p-10:30p","",""
"473","2021-06-19","Anchorage","American Legion Post 15 (Palmer)","music","Fun and Food w/ 100 Proof Karaoke","6p-11p","",""
"474","2021-06-19","Anchorage","Jack Sprat (Girdwood)","music","Stone Atlas on the Roof","7p-10p","",""
"475","2021-06-19","Anchorage","Kodiak Island Borough Fairgrounds","music","Love & Theft","7p-10p","",""
"476","2021-06-19","Anchorage","Matanuska Brewing Eagle River","music","Ken Peltier","7p-10p","",""
"477","2021-06-19","Anchorage","Palmer Alehouse","music","H3 LIVE","7p-10p","",""
"478","2021-06-19","Anchorage","International Hotel and Bar (Fairbanks)","festival","Juneteenth Festival featuring The Wailers","7p-1a","",""
"479","2021-06-19","Anchorage","Koot’s","music","Comedian Sam Tallent","7p-9p & 9:10p-11:30p","",""
"480","2021-06-19","Anchorage","The Broken Blender","music","Sassy Saturdays with Sweet Cheeks Cabaret","8p-10p","",""
"481","2021-06-19","Anchorage","Floater's (Big Lake)","music","Jerry Wessling Band Live","8p-12a","",""
"482","2021-06-19","Anchorage","Williwaw Social","dance","Summer Solstice Dance Party with DJ Joe Brady","9:30p-2a","",""
"483","2021-06-19","Anchorage","Williwaw Social","music","Soiree in the Speakeasy","9p-1:30a","",""
"484","2021-06-19","Anchorage","Mad Myrna’s","music","Mad Myrna's 2021 PRIDE PAGEANT","9p-11p","",""
"485","2021-06-19","Anchorage","American Legion Spenard Post 28","music","Saturday Night Karaoke!","9p-12a","",""
"486","2021-06-19","Anchorage","Fairview Inn (Talkeetna)","music","Triple Black Diamond","9p-1a","",""
"487","2021-06-19","Anchorage","Koot’s","music","DJ Joe Goodnov","9p-1a","",""
"488","2021-06-19","Anchorage","Van’s Dive Bar","music","Daddy's Issue","9p-1a","",""
"489","2021-06-20","Anchorage","KONR 106.1 FM","music","Beats Roots Alaska Annual Pride Show w/ DJ Covy & Jen Theulen","3p-5p","",""
"490","2021-06-20","Anchorage","Pubhouse","music","Father's Day/Summer Solstice Block Party w/ Eternal Cowboys & B4UDie","4:30p-9","",""
