id,date,city,venue,category,title,time,ticketUrl,cost
"1046","2023-01-26","Anchorage","Lil Babe’s Cocktail Lounge","music","Karaoke 8pm","12a","",""
"1047","2023-01-26","Anchorage","UAF Charles Davis Hall (Fairbanks)","music","Past, Present, & Future of Alaska Native Music","1p-2p","",""
"1048","2023-01-26","Anchorage","Hearth Artisan Pizza","dance","Music Workshop w/ Laura Cortese & the Dance Cards","3p-5","",""
"1049","2023-01-26","Anchorage","Bartlett High School","music","All City Band and Orchestra Auditions","4p-6:30p","",""
"1050","2023-01-26","Anchorage","The Workshop","community","Community NARCAN Training Course","5:30p-6:30p","",""
"1051","2023-01-26","Anchorage","Sullivan’s Steakhouse","music","Live Music from Melissa ""Jazzmom"" Fischer","5:30p-8:30p","",""
"1052","2023-01-26","Anchorage","Fairbanks Ice Art Park (Fairbanks)","music","Dancing Lights Trail","5p-9p","",""
"1053","2023-01-26","Anchorage","Anchorage Museum","music","Museum After Dark","6:30p-9:30p","",""
"1054","2023-01-26","Anchorage","Humpy’s","music","Rick Brooks","7:30p-11p","",""
"1055","2023-01-26","Anchorage","Flattop Pizza & Pasta","music","Jared Woods","7p-10p","",""
"1056","2023-01-26","Anchorage","Guido’s Pizza","music","Community Jam","7p-10p","",""
"1057","2023-01-26","Anchorage","Tailgater’s Sport’s Bar & Grill (Wasilla)","music","The AKoustic Project","7p-10p","",""
"1058","2023-01-26","Anchorage","Garcia’s (Eagle River)","music","Will Johnson","8p-11p","",""
"1059","2023-01-26","Anchorage","The Marlin Bar (Fairbanks)","music","Open Mic Night","8p-11p","",""
"1060","2023-01-26","Anchorage","The Peanut Farm","music","The Jukebox Karaoke","8p-11p","",""
"1061","2023-01-26","Anchorage","4 Royle Parkers (Soldotna)","music","Open Mic w/ Cody Kniceley","8p-12a","",""
"1062","2023-01-26","Anchorage","The Carousel Lounge","music","AK Rockstar Karaoke","8p-2a","",""
"1063","2023-01-26","Anchorage","Van’s Dive Bar","music","Bluegrass is Back!","9p-12a","",""
"1064","2023-01-26","Anchorage","Williwaw Social","music","Local Acoustic Showcase feat: Nicholas Holiday & Ukulele Russ","9p-12a","",""
"1065","2023-01-26","Anchorage","Koot’s","music","Open Decks","9p-2a","",""
"1066","2023-01-27","Anchorage","The Marlin (Fairbanks)","music","Marc Brown & The Blues Crew","10p-2a","",""
"1067","2023-01-27","Anchorage","The Crowbar (Fairbanks)","music","Friday Nights with DJ MANNY","10p-3a","",""
"1068","2023-01-27","Anchorage","Sullivan’s Steakhouse","music","Live Music from Tom Bargelski","5:30p-8:30p","",""
"1069","2023-01-27","Anchorage","Black Birch Books (Wasilla)","music","Open Mic Night","5p-7p","",""
"1070","2023-01-27","Anchorage","Odd Man Rush (Eagle River)","music","The 7 Duo","5p-9p","",""
"1071","2023-01-27","Anchorage","O’Malley’s on the Green","music","Danger Money","6:30p-9:30","",""
"1072","2023-01-27","Anchorage","Kenai Peninsula College Ward Building (Kenai)","music","Traditional Irish Music","6:30p-9p","",""
"1073","2023-01-27","Anchorage","American Legion Spenard Post 28","music","Acoustic Steak Night with Bill ""Woody"" Reeves!","6p-8p","",""
"1074","2023-01-27","Anchorage","Bear Paw Bar & Grill","music","2023 Rondy Royalty Pageant Preliminary Competition","6p-9:30p","",""
"1075","2023-01-27","Anchorage","Alaska Center for the Performing Arts","dance","Laura Cortese and the Dance Cards","7:30p-9:20p","",""
"1076","2023-01-27","Anchorage","Everett’s (Wasilla)","comedy","Comedy Show w/ Billy Wayne Davis","7:30p-9p","",""
"1077","2023-01-27","Anchorage","American Legion Post 15 (Palmer)","music","Friday Night Feast w/ 100 Proof Karaoke","7p-10p","",""
"1078","2023-01-27","Anchorage","Bear Tooth Theatrepub","music","Medium Build (Sold Out)","7p-10p","",""
"1079","2023-01-27","Anchorage","Inlet Towers","music","Williwaw Blue","7p-10p","",""
"1080","2023-01-27","Anchorage","Floaters (Big Lake)","music","Open Mic Night","7p-12a","",""
"1081","2023-01-27","Anchorage","The Fraternal Order of Eagles Aerie 4207","music","Karaoke Friday at the Eagles!","7p-12a","",""
"1082","2023-01-27","Anchorage","Wendy Williamson Auditorium","festival","Anchorage Folk Festival Main Stage Performances","7p-12a","",""
"1083","2023-01-27","Anchorage","Anchorage Community Theater","music","Out To Lunch: (extended weekend!!)","7p-8:30p","",""
"1084","2023-01-27","Anchorage","49th State Brewing (Anchorage)","comedy","Scared Scriptless Welcome Back Show!","7p-9p","",""
"1085","2023-01-27","Anchorage","Glenn Massay Theater (Palmer)","music","Tarzan","7p-9p","",""
"1086","2023-01-27","Anchorage","UAS Recreation Center (Juneau)","comedy","UAS Drag Show w/ April Carrion","7p-9p","",""
"1087","2023-01-27","Anchorage","Humpy’s","music","Nothin' But Trouble","8:30p-1:30a","",""
"1088","2023-01-27","Anchorage","The Gaslight Bar","music","The Jukebox Karaoke Roadshow","8p-11p","",""
"1089","2023-01-27","Anchorage","American Legion Post 33 (Chugiak)","music","The Stack Live","8p-12a","",""
"1090","2023-01-27","Anchorage","The Carousel Lounge","dance","Reggae & Salsa feat.DJ PrinceAlbert","8p-2a","",""
"1091","2023-01-27","Anchorage","Broken Blender","comedy","The Cellar Dweller Comedy Showcase","8p-9:30p","",""
"1092","2023-01-27","Anchorage","Williwaw Social","music","DJ Lloyds Noize's Essentials: Harry Styles","9p-1:30a","",""
"1093","2023-01-27","Anchorage","Mad Myrna’s","music","Mad Myrna's Diva Variety Show","9p-11:30p","",""
"1094","2023-01-27","Anchorage","Kenai Joes Taphouse (Kenai)","music","Hot Mess","9p-12a","",""
"1095","2023-01-27","Anchorage","Van’s Dive Bar","music","Unknowns w/ Spank The Dog","9p-12a","",""
"1096","2023-01-27","Anchorage","Sitzmark (Girdwood)","music","Ski Bunny Ball","9p-1a","",""
"1097","2023-01-27","Anchorage","Bernie’s Bungalow","music","DJ Covy","9p-2a","",""
"1098","2023-01-27","Anchorage","Fairview Inn (Talkeetna)","music","Todd Grebe","9p-2a","",""
"1099","2023-01-27","Anchorage","Koot’s","music","Sideways, Greenhouse And The Store!","9p-2a","",""
"1100","2023-01-28","Anchorage","The Maverick Saloon (Soldotna)","music","Hot Mess","10p-1a","",""
"1101","2023-01-28","Anchorage","The Carousel Lounge","music","Glacier Blues Band","10p-2a","",""
"1102","2023-01-28","Anchorage","Klondike Mike’s & Main Street Grill (Palmer)","music","90's Throwback Party w/ DJ Brazen","10p-2a","",""
"1103","2023-01-28","Anchorage","Williwaw Social","dance","Walking on a Dream: Indie Dance Party w/ DJ Gre","10p-2a","",""
"1104","2023-01-28","Anchorage","The Crowbar (Fairbanks)","music","Hip Hop Night with DJ Manny","10p-3a","",""
"1105","2023-01-28","Anchorage","TK Maguire’s (Juneau)","community","Gigi's Drag Brunch starring April Carrion","12p-3p","",""
"1106","2023-01-28","Anchorage","Dena’ina Civic & Convention Center","festival","Nothin' But Trouble at the Alaska Brew Fest","12p-4p","",""
"1107","2023-01-28","Anchorage","Wendy Williamson Auditorium","festival","Anchorage Folk Festival Main Stage Performances","1p-10p","",""
"1108","2023-01-28","Anchorage","Westchester Lagoon","music","Westchester Family Skate Day","1p-3p","",""
"1109","2023-01-28","Anchorage","Glenn Massay Theater (Palmer)","music","Tarzan","2p-4p & 7p-9p","",""
"1110","2023-01-28","Anchorage","Arctic Valley Ski Area","music","Bill ""Woody"" Reeves live at the Afterglow","2p-5p","",""
"1111","2023-01-28","Anchorage","Anchorage Community Theatre","music","Stage Management Workshop","3p-5p","",""
"1112","2023-01-28","Anchorage","Hatcher’s Pass Lodge (Palmer)","music","Cold Country Bluegrass","4p-7p","",""
"1113","2023-01-28","Anchorage","Dena’ina Civic & Convention Center","festival","The Stack Live at the Alaska Brew Fest","6p-10p","",""
"1114","2023-01-28","Anchorage","Red Dog Saloon (Juneau)","comedy","Dungeons & Drag-Uns! A Fantastical Drag Show","7:30p-11:45p","",""
"1115","2023-01-28","Anchorage","Alaska Center for the Performing Arts","music","Anchorage Symphony's ""Latin Vistas""","7:30p-9:30p","",""
"1116","2023-01-28","Anchorage","Gerald C. Wilson Auditorium (Kodiak)","dance","Laura Cortese & the Dance Cards","7:30p-9:30p","",""
"1117","2023-01-28","Anchorage","Tolsona Lake Lodge (Glenallen)","music","Roland Roberts Band","7p-10p","",""
"1118","2023-01-28","Anchorage","Broken Blender","music","Sweet Cheeks Cabaret","7p-8:30p","",""
"1119","2023-01-28","Anchorage","Cafecito Bonito","music","Lights Down Low Concert Series: Pipeline Vocal Project","7p-9p","",""
"1120","2023-01-28","Anchorage","Koot’s","music","Comedian Billy Wayne Davis","7p-9p & 9:30p-10:30p","",""
"1121","2023-01-28","Anchorage","Juneau-Douglas High School (Juneau)","music","Juneau Symphony Concert: Transformations","8p-10p","",""
"1122","2023-01-28","Anchorage","Serrano’s Mexican Grill","music","Nothin’ But Karma","8p-11p","",""
"1123","2023-01-28","Anchorage","Anchorage Moose Lodge","music","Danger Money Live at The Moose!","8p-12a","",""
"1124","2023-01-28","Anchorage","Broken Blender","music","Chris Crain","8p-12a","",""
"1125","2023-01-28","Anchorage","UAA Professional Sciences Building","music","Folk Week Music Workshops","9:30a-5:15p","",""
"1126","2023-01-28","Anchorage","Humpy’s","music","Rebel Blues","9:30p-1a","",""
"1127","2023-01-28","Anchorage","Williwaw Social","music","Indie Showcase feat: Paul Jacks","9p-10p","",""
"1128","2023-01-28","Anchorage","The Boatel (Fairbanks)","music","Valley Below","9p-11p","",""
"1129","2023-01-28","Anchorage","The Sitzmark (Girdwood)","music","Ski Bunny Ball","9p-1a","",""
"1130","2023-01-28","Anchorage","Van’s Dive Bar","music","The Nameless, Brainhole, & 3000-21!","9p-1a","",""
"1131","2023-01-28","Anchorage","Koot’s","music","Sideways, Greenhouse And The Store!","9p-2a","",""
"1132","2023-01-28","Anchorage","The Marlin (Fairbanks)","music","Tony Taylor's Birthday Bash","9p-2a","",""
"1133","2023-01-29","Anchorage","Koot’s","music","Koots Karaoke","10p-2a","",""
"1134","2023-01-29","Anchorage","Pioneer Bar","music","Industry Night w/ Joe Brady","10p-2a","",""
"1135","2023-01-29","Anchorage","UAA Professional Sciences Building","music","Folk Week Music Workshops","11:15a-5:15p","",""
